date,time,hour,time_of_day,payment_category,card,money,coffee_name,coffee_category,day_of_week,is_weekend
10-03-2024,19:35:55,19,Evening,Card,ANON-0000-0000-0046,28.9,Cortado,Milk-based,Sunday,TRUE
11-03-2024,10:18:47,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Monday,FALSE
11-03-2024,11:24:15,11,Morning,Cash,Cash_Payment,40,Cappuccino,Milk-based,Monday,FALSE
11-03-2024,11:24:52,11,Morning,Cash,Cash_Payment,30,Cortado,Milk-based,Monday,FALSE
11-03-2024,11:26:44,11,Morning,Cash,Cash_Payment,30,Americano,Espresso-based,Monday,FALSE
11-03-2024,11:32:59,11,Morning,Card,ANON-0000-0000-0035,38.7,Cappuccino,Milk-based,Monday,FALSE
11-03-2024,16:24:26,16,Afternoon,Card,ANON-0000-0000-0047,28.9,Americano,Espresso-based,Monday,FALSE
11-03-2024,16:25:46,16,Afternoon,Card,ANON-0000-0000-0047,38.7,Latte,Milk-based,Monday,FALSE
11-03-2024,16:50:50,16,Afternoon,Card,ANON-0000-0000-0048,28.9,Cortado,Milk-based,Monday,FALSE
12-03-2024,10:15:00,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Tuesday,FALSE
12-03-2024,10:15:35,10,Morning,Card,ANON-0000-0000-0033,28.9,Americano,Espresso-based,Tuesday,FALSE
12-03-2024,10:16:25,10,Morning,Card,ANON-0000-0000-0033,28.9,Cortado,Milk-based,Tuesday,FALSE
12-03-2024,11:20:46,11,Morning,Card,ANON-0000-0000-0049,38.7,Hot Chocolate,Chocolate-based,Tuesday,FALSE
12-03-2024,12:46:23,12,Afternoon,Card,ANON-0000-0000-0004,33.8,Americano with Milk,Milk-based,Tuesday,FALSE
12-03-2024,12:47:26,12,Afternoon,Card,ANON-0000-0000-0004,28.9,Americano,Espresso-based,Tuesday,FALSE
12-03-2024,16:15:43,16,Afternoon,Card,ANON-0000-0000-0050,28.9,Americano,Espresso-based,Tuesday,FALSE
13-03-2024,11:06:43,11,Morning,Card,ANON-0000-0000-0048,38.7,Hot Chocolate,Chocolate-based,Wednesday,FALSE
13-03-2024,11:48:17,11,Morning,Card,ANON-0000-0000-0004,28.9,Americano,Espresso-based,Wednesday,FALSE
13-03-2024,12:18:06,12,Afternoon,Card,ANON-0000-0000-0051,28.9,Americano,Espresso-based,Wednesday,FALSE
13-03-2024,12:19:05,12,Afternoon,Card,ANON-0000-0000-0051,28.9,Americano,Espresso-based,Wednesday,FALSE
13-03-2024,12:34:30,12,Afternoon,Cash,Cash_Payment,25,Espresso,Espresso-based,Wednesday,FALSE
13-03-2024,14:26:41,14,Afternoon,Card,ANON-0000-0000-0052,33.8,Americano with Milk,Milk-based,Wednesday,FALSE
13-03-2024,15:40:22,15,Afternoon,Card,ANON-0000-0000-0053,24,Espresso,Espresso-based,Wednesday,FALSE
13-03-2024,15:41:20,15,Afternoon,Card,ANON-0000-0000-0053,24,Espresso,Espresso-based,Wednesday,FALSE
13-03-2024,16:47:09,16,Afternoon,Card,ANON-0000-0000-0054,24,Espresso,Espresso-based,Wednesday,FALSE
14-03-2024,10:02:12,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Thursday,FALSE
14-03-2024,10:28:33,10,Morning,Card,ANON-0000-0000-0055,38.7,Latte,Milk-based,Thursday,FALSE
14-03-2024,10:29:34,10,Morning,Card,ANON-0000-0000-0055,38.7,Hot Chocolate,Chocolate-based,Thursday,FALSE
14-03-2024,13:27:30,13,Afternoon,Card,ANON-0000-0000-0012,28.9,Cortado,Milk-based,Thursday,FALSE
14-03-2024,13:28:25,13,Afternoon,Card,ANON-0000-0000-0012,28.9,Americano,Espresso-based,Thursday,FALSE
14-03-2024,13:52:00,13,Afternoon,Card,ANON-0000-0000-0056,33.8,Americano with Milk,Milk-based,Thursday,FALSE
14-03-2024,13:52:56,13,Afternoon,Card,ANON-0000-0000-0057,24,Espresso,Espresso-based,Thursday,FALSE
14-03-2024,15:20:38,15,Afternoon,Card,ANON-0000-0000-0058,38.7,Latte,Milk-based,Thursday,FALSE
14-03-2024,16:04:10,16,Afternoon,Card,ANON-0000-0000-0059,33.8,Americano with Milk,Milk-based,Thursday,FALSE
14-03-2024,16:54:38,16,Afternoon,Card,ANON-0000-0000-0050,24,Espresso,Espresso-based,Thursday,FALSE
14-03-2024,18:58:56,18,Evening,Card,ANON-0000-0000-0019,38.7,Hot Chocolate,Chocolate-based,Thursday,FALSE
14-03-2024,19:00:09,19,Evening,Card,ANON-0000-0000-0012,28.9,Cortado,Milk-based,Thursday,FALSE
15-03-2024,10:02:17,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Friday,FALSE
15-03-2024,10:53:02,10,Morning,Card,ANON-0000-0000-0060,38.7,Hot Chocolate,Chocolate-based,Friday,FALSE
15-03-2024,18:19:28,18,Evening,Card,ANON-0000-0000-0012,28.9,Americano,Espresso-based,Friday,FALSE
16-03-2024,12:06:55,12,Afternoon,Card,ANON-0000-0000-0061,33.8,Americano with Milk,Milk-based,Saturday,TRUE
16-03-2024,12:07:54,12,Afternoon,Card,ANON-0000-0000-0061,28.9,Americano,Espresso-based,Saturday,TRUE
16-03-2024,15:58:18,15,Afternoon,Card,ANON-0000-0000-0009,28.9,Cortado,Milk-based,Saturday,TRUE
16-03-2024,16:03:22,16,Afternoon,Card,ANON-0000-0000-0009,28.9,Cortado,Milk-based,Saturday,TRUE
16-03-2024,16:04:11,16,Afternoon,Card,ANON-0000-0000-0012,28.9,Cortado,Milk-based,Saturday,TRUE
16-03-2024,17:58:07,17,Evening,Card,ANON-0000-0000-0062,33.8,Americano with Milk,Milk-based,Saturday,TRUE
17-03-2024,10:10:21,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Sunday,TRUE
17-03-2024,12:55:26,12,Afternoon,Card,ANON-0000-0000-0063,28.9,Cortado,Milk-based,Sunday,TRUE
18-03-2024,11:18:00,11,Morning,Card,ANON-0000-0000-0064,28.9,Cortado,Milk-based,Monday,FALSE
18-03-2024,15:31:40,15,Afternoon,Card,ANON-0000-0000-0003,28.9,Americano,Espresso-based,Monday,FALSE
18-03-2024,15:32:38,15,Afternoon,Card,ANON-0000-0000-0003,28.9,Americano,Espresso-based,Monday,FALSE
18-03-2024,15:33:37,15,Afternoon,Card,ANON-0000-0000-0003,28.9,Americano,Espresso-based,Monday,FALSE
19-03-2024,10:20:26,10,Morning,Cash,Cash_Payment,30,Cortado,Milk-based,Tuesday,FALSE
19-03-2024,14:02:22,14,Afternoon,Card,ANON-0000-0000-0065,38.7,Latte,Milk-based,Tuesday,FALSE
19-03-2024,14:03:20,14,Afternoon,Card,ANON-0000-0000-0065,38.7,Latte,Milk-based,Tuesday,FALSE
19-03-2024,15:04:36,15,Afternoon,Card,ANON-0000-0000-0049,38.7,Hot Chocolate,Chocolate-based,Tuesday,FALSE
19-03-2024,16:53:49,16,Afternoon,Card,ANON-0000-0000-0066,33.8,Americano with Milk,Milk-based,Tuesday,FALSE
19-03-2024,19:26:33,19,Evening,Cash,Cash_Payment,40,Hot Chocolate,Chocolate-based,Tuesday,FALSE
20-03-2024,11:41:16,11,Morning,Card,ANON-0000-0000-0012,28.9,Cortado,Milk-based,Wednesday,FALSE
20-03-2024,12:21:08,12,Afternoon,Cash,Cash_Payment,40,Latte,Milk-based,Wednesday,FALSE
20-03-2024,12:30:49,12,Afternoon,Card,ANON-0000-0000-0049,28.9,Cortado,Milk-based,Wednesday,FALSE
20-03-2024,13:16:47,13,Afternoon,Card,ANON-0000-0000-0067,38.7,Cappuccino,Milk-based,Wednesday,FALSE
20-03-2024,16:42:38,16,Afternoon,Card,ANON-0000-0000-0050,38.7,Cocoa,Chocolate-based,Wednesday,FALSE
20-03-2024,17:50:29,17,Evening,Card,ANON-0000-0000-0068,38.7,Latte,Milk-based,Wednesday,FALSE
21-03-2024,10:18:57,10,Morning,Cash,Cash_Payment,40,Cappuccino,Milk-based,Thursday,FALSE
21-03-2024,12:25:09,12,Afternoon,Card,ANON-0000-0000-0012,28.9,Cortado,Milk-based,Thursday,FALSE
21-03-2024,12:26:17,12,Afternoon,Card,ANON-0000-0000-0012,38.7,Cappuccino,Milk-based,Thursday,FALSE
21-03-2024,17:21:01,17,Evening,Cash,Cash_Payment,30,Americano,Espresso-based,Thursday,FALSE
21-03-2024,17:22:01,17,Evening,Card,ANON-0000-0000-0012,28.9,Cortado,Milk-based,Thursday,FALSE
21-03-2024,19:20:37,19,Evening,Card,ANON-0000-0000-0069,38.7,Latte,Milk-based,Thursday,FALSE
22-03-2024,10:35:54,10,Morning,Card,ANON-0000-0000-0070,33.8,Americano with Milk,Milk-based,Friday,FALSE
22-03-2024,13:29:20,13,Afternoon,Card,ANON-0000-0000-0071,33.8,Americano with Milk,Milk-based,Friday,FALSE
22-03-2024,16:15:14,16,Afternoon,Cash,Cash_Payment,40,Cappuccino,Milk-based,Friday,FALSE
22-03-2024,17:17:04,17,Evening,Card,ANON-0000-0000-0012,28.9,Americano,Espresso-based,Friday,FALSE
22-03-2024,17:17:59,17,Evening,Card,ANON-0000-0000-0012,24,Espresso,Espresso-based,Friday,FALSE
22-03-2024,17:20:49,17,Evening,Card,ANON-0000-0000-0050,28.9,Americano,Espresso-based,Friday,FALSE
23-03-2024,10:44:00,10,Morning,Card,ANON-0000-0000-0072,38.7,Latte,Milk-based,Saturday,TRUE
23-03-2024,10:45:07,10,Morning,Card,ANON-0000-0000-0073,33.8,Americano with Milk,Milk-based,Saturday,TRUE
23-03-2024,13:10:08,13,Afternoon,Card,ANON-0000-0000-0074,38.7,Cappuccino,Milk-based,Saturday,TRUE
23-03-2024,13:11:12,13,Afternoon,Card,ANON-0000-0000-0074,38.7,Cocoa,Chocolate-based,Saturday,TRUE
23-03-2024,14:44:41,14,Afternoon,Card,ANON-0000-0000-0075,33.8,Americano with Milk,Milk-based,Saturday,TRUE
23-03-2024,15:47:19,15,Afternoon,Card,ANON-0000-0000-0076,38.7,Latte,Milk-based,Saturday,TRUE
23-03-2024,15:49:34,15,Afternoon,Card,ANON-0000-0000-0076,33.8,Americano with Milk,Milk-based,Saturday,TRUE
23-03-2024,16:00:58,16,Afternoon,Card,ANON-0000-0000-0009,28.9,Cortado,Milk-based,Saturday,TRUE
24-03-2024,10:03:56,10,Morning,Cash,Cash_Payment,40,Latte,Milk-based,Sunday,TRUE
24-03-2024,18:45:08,18,Evening,Card,ANON-0000-0000-0077,38.7,Latte,Milk-based,Sunday,TRUE
25-03-2024,10:31:47,10,Morning,Card,ANON-0000-0000-0009,38.7,Latte,Milk-based,Monday,FALSE
25-03-2024,11:16:26,11,Morning,Cash,Cash_Payment,35,Americano with Milk,Milk-based,Monday,FALSE
25-03-2024,14:27:09,14,Afternoon,Card,ANON-0000-0000-0078,38.7,Latte,Milk-based,Monday,FALSE
25-03-2024,14:29:25,14,Afternoon,Card,ANON-0000-0000-0017,38.7,Latte,Milk-based,Monday,FALSE
25-03-2024,18:37:31,18,Evening,Card,ANON-0000-0000-0024,33.8,Americano with Milk,Milk-based,Monday,FALSE
25-03-2024,19:34:25,19,Evening,Card,ANON-0000-0000-0079,38.7,Cappuccino,Milk-based,Monday,FALSE
26-03-2024,10:35:50,10,Morning,Card,ANON-0000-0000-0055,38.7,Cocoa,Chocolate-based,Tuesday,FALSE
26-03-2024,10:36:36,10,Morning,Card,ANON-0000-0000-0055,38.7,Latte,Milk-based,Tuesday,FALSE
26-03-2024,10:42:30,10,Morning,Card,ANON-0000-0000-0080,38.7,Latte,Milk-based,Tuesday,FALSE
26-03-2024,11:11:47,11,Morning,Card,ANON-0000-0000-0009,28.9,Cortado,Milk-based,Tuesday,FALSE
26-03-2024,13:35:53,13,Afternoon,Card,ANON-0000-0000-0003,28.9,Americano,Espresso-based,Tuesday,FALSE
26-03-2024,13:36:50,13,Afternoon,Card,ANON-0000-0000-0032,28.9,Cortado,Milk-based,Tuesday,FALSE
26-03-2024,13:38:00,13,Afternoon,Card,ANON-0000-0000-0059,28.9,Cortado,Milk-based,Tuesday,FALSE
26-03-2024,13:57:54,13,Afternoon,Card,ANON-0000-0000-0050,28.9,Americano,Espresso-based,Tuesday,FALSE
26-03-2024,15:48:02,15,Afternoon,Card,ANON-0000-0000-0081,38.7,Latte,Milk-based,Tuesday,FALSE
26-03-2024,18:33:39,18,Evening,Card,ANON-0000-0000-0024,38.7,Latte,Milk-based,Tuesday,FALSE
26-03-2024,18:34:55,18,Evening,Card,ANON-0000-0000-0009,38.7,Hot Chocolate,Chocolate-based,Tuesday,FALSE
27-03-2024,11:04:51,11,Morning,Card,ANON-0000-0000-0003,28.9,Cortado,Milk-based,Wednesday,FALSE
27-03-2024,11:05:58,11,Morning,Card,ANON-0000-0000-0003,33.8,Americano with Milk,Milk-based,Wednesday,FALSE
27-03-2024,12:57:00,12,Afternoon,Card,ANON-0000-0000-0082,33.8,Americano with Milk,Milk-based,Wednesday,FALSE
27-03-2024,13:35:20,13,Afternoon,Card,ANON-0000-0000-0083,38.7,Hot Chocolate,Chocolate-based,Wednesday,FALSE
27-03-2024,14:22:32,14,Afternoon,Card,ANON-0000-0000-0012,38.7,Cappuccino,Milk-based,Wednesday,FALSE
27-03-2024,14:23:35,14,Afternoon,Card,ANON-0000-0000-0012,28.9,Americano,Espresso-based,Wednesday,FALSE
27-03-2024,18:30:12,18,Evening,Card,ANON-0000-0000-0084,28.9,Cortado,Milk-based,Wednesday,FALSE
27-03-2024,19:31:12,19,Evening,Cash,Cash_Payment,40,Latte,Milk-based,Wednesday,FALSE
28-03-2024,14:24:47,14,Afternoon,Card,ANON-0000-0000-0085,28.9,Cortado,Milk-based,Thursday,FALSE
28-03-2024,17:24:46,17,Evening,Card,ANON-0000-0000-0012,28.9,Cortado,Milk-based,Thursday,FALSE
28-03-2024,17:27:05,17,Evening,Card,ANON-0000-0000-0012,28.9,Americano,Espresso-based,Thursday,FALSE
28-03-2024,17:32:45,17,Evening,Card,ANON-0000-0000-0086,38.7,Latte,Milk-based,Thursday,FALSE
29-03-2024,10:56:19,10,Morning,Card,ANON-0000-0000-0087,38.7,Latte,Milk-based,Friday,FALSE
29-03-2024,12:34:17,12,Afternoon,Card,ANON-0000-0000-0088,38.7,Cappuccino,Milk-based,Friday,FALSE
29-03-2024,12:41:32,12,Afternoon,Card,ANON-0000-0000-0088,38.7,Cappuccino,Milk-based,Friday,FALSE
29-03-2024,13:22:45,13,Afternoon,Cash,Cash_Payment,40,Cappuccino,Milk-based,Friday,FALSE
30-03-2024,11:59:20,11,Morning,Card,ANON-0000-0000-0069,38.7,Latte,Milk-based,Saturday,TRUE
30-03-2024,13:49:26,13,Afternoon,Cash,Cash_Payment,40,Cappuccino,Milk-based,Saturday,TRUE
30-03-2024,16:12:32,16,Afternoon,Card,ANON-0000-0000-0017,38.7,Latte,Milk-based,Saturday,TRUE
30-03-2024,16:36:41,16,Afternoon,Card,ANON-0000-0000-0009,38.7,Latte,Milk-based,Saturday,TRUE
30-03-2024,16:37:58,16,Afternoon,Card,ANON-0000-0000-0009,33.8,Americano with Milk,Milk-based,Saturday,TRUE
31-03-2024,10:40:05,10,Morning,Card,ANON-0000-0000-0089,38.7,Cappuccino,Milk-based,Sunday,TRUE
31-03-2024,19:36:45,19,Evening,Cash,Cash_Payment,30,Americano,Espresso-based,Sunday,TRUE
01-04-2024,10:28:48,10,Morning,Card,ANON-0000-0000-0004,28.9,Americano,Espresso-based,Monday,FALSE
01-04-2024,10:29:42,10,Morning,Card,ANON-0000-0000-0004,33.8,Americano with Milk,Milk-based,Monday,FALSE
01-04-2024,10:30:44,10,Morning,Card,ANON-0000-0000-0004,33.8,Americano with Milk,Milk-based,Monday,FALSE
01-04-2024,11:15:44,11,Morning,Card,ANON-0000-0000-0009,33.8,Americano with Milk,Milk-based,Monday,FALSE
01-04-2024,17:01:43,17,Evening,Cash,Cash_Payment,40,Cappuccino,Milk-based,Monday,FALSE
01-04-2024,18:18:42,18,Evening,Card,ANON-0000-0000-0024,33.8,Americano with Milk,Milk-based,Monday,FALSE
01-04-2024,18:45:27,18,Evening,Card,ANON-0000-0000-0090,38.7,Hot Chocolate,Chocolate-based,Monday,FALSE
02-04-2024,10:01:14,10,Morning,Card,ANON-0000-0000-0001,38.7,Latte,Milk-based,Tuesday,FALSE
02-04-2024,16:18:34,16,Afternoon,Card,ANON-0000-0000-0003,28.9,Americano,Espresso-based,Tuesday,FALSE
02-04-2024,16:19:28,16,Afternoon,Card,ANON-0000-0000-0003,28.9,Cortado,Milk-based,Tuesday,FALSE
02-04-2024,19:59:32,19,Evening,Cash,Cash_Payment,40,Cappuccino,Milk-based,Tuesday,FALSE
03-04-2024,10:19:14,10,Morning,Card,ANON-0000-0000-0003,28.9,Cortado,Milk-based,Wednesday,FALSE
03-04-2024,10:20:08,10,Morning,Card,ANON-0000-0000-0003,28.9,Americano,Espresso-based,Wednesday,FALSE
03-04-2024,13:12:05,13,Afternoon,Card,ANON-0000-0000-0012,38.7,Cappuccino,Milk-based,Wednesday,FALSE
03-04-2024,15:36:12,15,Afternoon,Cash,Cash_Payment,30,Cortado,Milk-based,Wednesday,FALSE
04-04-2024,10:44:56,10,Morning,Card,ANON-0000-0000-0091,38.7,Latte,Milk-based,Thursday,FALSE
04-04-2024,11:26:38,11,Morning,Card,ANON-0000-0000-0092,38.7,Latte,Milk-based,Thursday,FALSE
04-04-2024,11:27:48,11,Morning,Card,ANON-0000-0000-0093,38.7,Cappuccino,Milk-based,Thursday,FALSE
04-04-2024,12:23:02,12,Afternoon,Card,ANON-0000-0000-0094,28.9,Cortado,Milk-based,Thursday,FALSE
04-04-2024,19:42:08,19,Evening,Cash,Cash_Payment,40,Latte,Milk-based,Thursday,FALSE
05-04-2024,10:40:43,10,Morning,Card,ANON-0000-0000-0095,28.9,Americano,Espresso-based,Friday,FALSE
